"rzone10","ezone10","county10","isMPA","isPDX","is4co","isMult","isClack","isWash","isClarkco"
60,14,1,1,1,1,1,0,0,0
61,15,1,1,1,1,1,0,0,0
62,15,1,1,1,1,1,0,0,0
63,15,1,1,1,1,1,0,0,0
64,15,1,1,1,1,1,0,0,0
65,15,1,1,1,1,1,0,0,0
66,16,1,1,1,1,1,0,0,0
67,16,1,1,1,1,1,0,0,0
68,16,1,1,1,1,1,0,0,0
69,16,1,1,1,1,1,0,0,0
70,13,1,1,1,1,1,0,0,0
71,16,1,1,1,1,1,0,0,0
72,16,1,1,1,1,1,0,0,0
73,26,1,1,1,1,1,0,0,0
74,26,1,1,1,1,1,0,0,0
75,26,1,1,1,1,1,0,0,0
76,3,1,1,1,1,1,0,0,0
77,2,1,1,1,1,1,0,0,0
78,2,1,1,1,1,1,0,0,0
79,2,1,1,1,1,1,0,0,0
80,2,1,1,1,1,1,0,0,0
81,1,1,1,1,1,1,0,0,0
82,2,1,1,1,1,1,0,0,0
83,3,1,1,1,1,1,0,0,0
84,1,1,1,1,1,1,0,0,0
85,1,1,1,1,1,1,0,0,0
86,3,1,1,1,1,1,0,0,0
87,3,1,1,1,1,1,0,0,0
88,3,1,1,1,1,1,0,0,0
89,3,1,1,1,1,1,0,0,0
90,3,1,1,1,1,1,0,0,0
91,4,1,1,1,1,1,0,0,0
92,4,1,1,1,1,1,0,0,0
93,4,1,1,1,1,1,0,0,0
94,4,1,1,1,1,1,0,0,0
95,4,1,1,1,1,1,0,0,0
96,4,1,1,1,1,1,0,0,0
97,4,1,1,1,1,1,0,0,0
98,4,1,1,1,1,1,0,0,0
99,4,1,1,1,1,1,0,0,0
100,4,1,1,1,1,1,0,0,0
101,4,1,1,1,1,1,0,0,0
102,4,1,1,1,1,1,0,0,0
103,4,1,1,1,1,1,0,0,0
104,3,1,1,1,1,1,0,0,0
105,26,1,1,1,1,1,0,0,0
106,27,1,0,0,1,1,0,0,0
107,13,1,1,0,1,1,0,0,0
108,13,1,1,1,1,1,0,0,0
109,12,1,1,1,1,1,0,0,0
110,11,1,1,1,1,1,0,0,0
111,11,1,1,1,1,1,0,0,0
112,11,1,1,1,1,1,0,0,0
113,11,1,1,1,1,1,0,0,0
114,11,1,1,1,1,1,0,0,0
115,20,1,1,1,1,1,0,0,0
116,20,1,1,1,1,1,0,0,0
117,20,1,1,1,1,1,0,0,0
118,20,1,1,1,1,1,0,0,0
119,10,1,1,1,1,1,0,0,0
120,20,1,1,1,1,1,0,0,0
121,10,1,1,1,1,1,0,0,0
122,10,1,1,1,1,1,0,0,0
123,19,1,1,1,1,1,0,0,0
124,19,1,1,1,1,1,0,0,0
125,18,1,1,1,1,1,0,0,0
126,9,1,1,1,1,1,0,0,0
127,9,1,1,1,1,1,0,0,0
128,19,1,1,1,1,1,0,0,0
129,19,1,1,1,1,1,0,0,0
130,19,1,1,1,1,1,0,0,0
131,19,1,1,1,1,1,0,0,0
132,19,1,1,1,1,1,0,0,0
133,20,1,1,1,1,1,0,0,0
134,20,1,1,1,1,1,0,0,0
135,20,1,1,1,1,1,0,0,0
136,20,1,1,1,1,1,0,0,0
137,20,1,1,1,1,1,0,0,0
138,20,1,1,1,1,1,0,0,0
139,20,1,1,1,1,1,0,0,0
140,22,1,1,0,1,1,0,0,0
141,22,1,1,0,1,1,0,0,0
142,22,1,1,0,1,1,0,0,0
143,22,1,1,0,1,1,0,0,0
144,20,1,1,1,1,1,0,0,0
145,22,1,1,1,1,1,0,0,0
146,22,1,1,0,1,1,0,0,0
147,22,1,1,0,1,1,0,0,0
148,22,1,1,1,1,1,0,0,0
149,24,1,1,0,1,1,0,0,0
150,24,1,1,0,1,1,0,0,0
151,24,1,1,0,1,1,0,0,0
152,24,1,1,0,1,1,0,0,0
153,24,1,1,0,1,1,0,0,0
154,24,1,1,0,1,1,0,0,0
155,24,1,1,0,1,1,0,0,0
156,23,1,1,0,1,1,0,0,0
157,21,1,1,0,1,1,0,0,0
158,23,1,1,0,1,1,0,0,0
159,23,1,1,0,1,1,0,0,0
160,23,1,1,0,1,1,0,0,0
161,23,1,1,0,1,1,0,0,0
162,24,1,1,0,1,1,0,0,0
163,24,1,1,0,1,1,0,0,0
164,24,1,1,0,1,1,0,0,0
165,24,1,1,0,1,1,0,0,0
166,24,1,1,0,1,1,0,0,0
167,24,1,1,0,1,1,0,0,0
168,24,1,1,0,1,1,0,0,0
169,25,1,0,0,1,1,0,0,0
170,1,1,1,1,1,1,0,0,0
171,17,1,1,1,1,1,0,0,0
172,39,2,1,0,1,0,1,0,0
173,39,2,1,0,1,0,1,0,0
174,39,2,1,0,1,0,1,0,0
175,39,2,1,0,1,0,1,0,0
176,39,2,1,0,1,0,1,0,0
177,39,2,1,0,1,0,1,0,0
